year_month,active_users,new_users,new_groups,old_users,total_users,total_groups
2002-08,2,2,1,0,2,1
2002-09,1,1,1,0,3,2
2002-10,3,3,1,0,6,3
2002-11,7,7,5,0,13,8
2002-12,9,9,0,0,22,8
2003-01,13,13,1,0,35,9
2003-02,21,21,2,0,56,11
2003-03,22,22,0,0,78,11
2003-04,18,17,0,1,95,11
2003-05,18,17,0,1,112,11
2003-06,21,21,2,0,133,13
2003-07,18,16,0,2,149,13
2003-08,32,28,1,4,177,14
2003-09,20,16,0,4,193,14
2003-10,32,30,0,2,223,14
2003-11,29,27,1,2,250,15
2003-12,28,28,1,0,278,16
2004-01,32,30,1,2,308,17
2004-02,32,28,0,4,336,17
2004-03,26,25,0,1,361,17
2004-04,19,19,2,0,380,19
2004-05,28,26,1,2,406,20
2004-06,28,27,0,1,433,20
2004-07,25,25,1,0,458,21
2004-08,26,24,1,2,482,22
2004-09,27,24,1,3,506,23
2004-10,46,42,1,4,548,24
2004-11,40,34,1,6,582,25
2004-12,33,28,2,5,610,27
2005-01,52,39,0,13,649,27
2005-02,49,41,0,8,690,27
2005-03,63,46,5,17,736,32
2005-04,46,39,2,7,775,34
2005-05,67,58,2,9,833,36
2005-06,52,42,0,10,875,36
2005-07,41,34,0,7,909,36
2005-08,77,54,0,23,963,36
2005-09,59,33,0,26,996,36
2005-10,78,58,0,20,1054,36
2005-11,61,46,0,15,1100,36
2005-12,56,48,0,8,1148,36
2006-01,87,76,2,11,1224,38
2006-02,97,86,1,11,1310,39
2006-03,96,71,2,25,1381,41
2006-04,81,67,1,14,1448,42
2006-05,143,115,5,28,1563,47
2006-06,166,141,2,25,1704,49
2006-07,189,158,5,31,1862,54
2006-08,193,150,2,43,2012,56
2006-09,174,134,0,40,2146,56
2006-10,183,144,5,39,2290,61
2006-11,221,165,4,56,2455,65
2006-12,187,138,2,49,2593,67
2007-01,454,307,5,147,2900,72
2007-02,324,243,1,81,3143,73
2007-03,327,243,6,84,3386,79
2007-04,407,278,6,129,3664,85
2007-05,421,294,7,127,3958,92
2007-06,342,253,5,89,4211,97
2007-07,433,313,3,120,4524,100
2007-08,478,336,3,142,4860,103
2007-09,492,340,3,152,5200,106
2007-10,574,416,4,158,5616,110
2007-11,692,476,9,216,6092,119
2007-12,372,263,1,109,6355,120
2008-01,815,576,2,239,6931,122
2008-02,624,432,7,192,7363,129
2008-03,674,469,6,205,7832,135
2008-04,856,552,7,304,8384,142
2008-05,741,477,10,264,8861,152
2008-06,837,524,6,313,9385,158
2008-07,970,585,9,385,9970,167
2008-08,1130,722,3,408,10692,170
2008-09,1158,667,6,491,11359,176
2008-10,1426,813,11,613,12172,187
2008-11,1588,918,10,670,13090,197
2008-12,951,503,6,448,13593,203
2009-01,2326,1243,18,1083,14836,221
2009-02,2040,1131,11,909,15967,232
2009-03,2028,1055,13,973,17022,245
2009-04,2005,1013,9,992,18035,254
2009-05,2400,1084,15,1316,19119,269
2009-06,2258,1078,6,1180,20197,275
2009-07,2332,1114,13,1218,21311,288
2009-08,2581,1213,11,1368,22524,299
2009-09,2650,1409,16,1241,23933,315
2009-10,2481,1218,12,1263,25151,327
2009-11,2587,1241,13,1346,26392,340
2009-12,1938,875,3,1063,27267,343
2010-01,3233,1513,12,1720,28780,355
2010-02,3036,1414,15,1622,30194,370
2010-03,3128,1443,10,1685,31637,380
2010-04,2859,1329,8,1530,32966,388
2010-05,2837,1349,10,1488,34315,398
2010-06,2794,1315,8,1479,35630,406
2010-07,3169,1382,15,1787,37012,421
2010-08,3691,1641,15,2050,38653,436
2010-09,3275,1503,13,1772,40156,449
2010-10,3519,1642,9,1877,41798,458
2010-11,3141,1473,11,1668,43271,469
2010-12,2532,1057,10,1475,44328,479
2011-01,4938,2227,15,2711,46555,494
2011-02,4401,1933,13,2468,48488,507
2011-03,4399,2010,11,2389,50498,518
2011-04,4365,1943,11,2422,52441,529
2011-05,5559,2328,17,3231,54769,546
2011-06,4832,2135,12,2697,56904,558
2011-07,4986,2276,14,2710,59180,572
2011-08,5577,2270,15,3307,61450,587
2011-09,6317,2716,18,3601,64166,605
2011-10,6677,2698,20,3979,66864,625
2011-11,6542,2582,17,3960,69446,642
2011-12,5907,2034,16,3873,71480,658
2012-01,10343,3742,33,6601,75222,691
2012-02,10289,3848,27,6441,79070,718
2012-03,10579,3619,28,6960,82689,746
2012-04,10566,3661,27,6905,86350,773
2012-05,11084,3874,32,7210,90224,805
2012-06,11076,3687,40,7389,93911,845
2012-07,12953,4609,38,8344,98520,883
2012-08,14154,4532,45,9622,103052,928
2012-09,14018,4814,25,9204,107866,953
2012-10,15929,5635,29,10294,113501,982
2012-11,15044,5111,40,9933,118612,1022
2012-12,10900,3532,16,7368,122144,1038
2013-01,20962,7171,48,13791,129315,1086
2013-02,17877,6199,28,11678,135514,1114
2013-03,20015,6836,47,13179,142350,1161
2013-04,22613,7374,31,15239,149724,1192
2013-05,22461,7221,41,15240,156945,1233
2013-06,21307,7016,45,14291,163961,1278
2013-07,21388,7000,37,14388,170961,1315
2013-08,22609,7151,35,15458,178112,1350
2013-09,23365,7494,45,15871,185606,1395
2013-10,24640,8318,31,16322,193924,1426
2013-11,22969,7586,48,15383,201510,1474
2013-12,17350,5320,29,12030,206830,1503
2014-01,31797,9712,76,22085,216542,1579
2014-02,27147,8084,49,19063,224626,1628
2014-03,28433,8214,51,20219,232840,1679
2014-04,29857,8524,48,21333,241364,1727
2014-05,31620,8927,54,22693,250291,1781
2014-06,29476,8437,54,21039,258728,1835
2014-07,31955,8718,70,23237,267446,1905
2014-08,37731,9737,71,27994,277183,1976
2014-09,39837,10552,88,29285,287735,2064
2014-10,48641,12433,99,36208,300168,2163
2014-11,44065,10780,64,33285,310948,2227
2014-12,41970,8301,54,33669,319249,2281
2015-01,88456,15658,97,72798,334907,2378
2015-02,82185,13829,77,68356,348736,2455
2015-03,96956,15724,98,81232,364460,2553
2015-04,98753,15379,103,83374,379839,2656
2015-05,100678,15676,85,85002,395515,2741
2015-06,94224,14654,87,79570,410169,2828
2015-07,99574,15013,93,84561,425182,2921
2015-08,105482,15141,83,90341,440323,3004
2015-09,107175,16212,100,90963,456535,3104
2015-10,111030,16555,100,94475,473090,3204
2015-11,98852,14632,86,84220,487722,3290
2015-12,81043,10929,75,70114,498651,3365
2016-01,135485,19127,142,116358,517778,3507
