year_month,active_users,new_users,new_groups,old_users,total_users,total_groups
2002-06,5,5,3,0,5,3
2002-07,7,5,4,2,10,7
2002-08,7,7,2,0,17,9
2002-09,4,4,2,0,21,11
2002-10,8,8,1,0,29,12
2002-11,19,16,6,3,45,18
2002-12,29,28,6,1,73,24
2003-01,43,39,7,4,112,31
2003-02,76,71,3,5,183,34
2003-03,170,163,5,7,346,39
2003-04,93,85,3,8,431,42
2003-05,125,121,2,4,552,44
2003-06,262,247,5,15,799,49
2003-07,283,260,7,23,1059,56
2003-08,339,318,7,21,1377,63
2003-09,243,238,3,5,1615,66
2003-10,188,168,3,20,1783,69
2003-11,192,177,3,15,1960,72
2003-12,211,196,1,15,2156,73
2004-01,362,324,4,38,2480,77
2004-02,162,142,2,20,2622,79
2004-03,148,123,3,25,2745,82
2004-04,154,132,0,22,2877,82
2004-05,88,70,2,18,2947,84
2004-06,121,99,2,22,3046,86
2004-07,110,89,2,21,3135,88
2004-08,162,129,2,33,3264,90
2004-09,150,126,4,24,3390,94
2004-10,188,155,2,33,3545,96
2004-11,238,196,4,42,3741,100
2004-12,205,161,2,44,3902,102
2005-01,300,216,8,84,4118,110
2005-02,267,194,3,73,4312,113
2005-03,339,230,3,109,4542,116
2005-04,233,158,3,75,4700,119
2005-05,283,200,0,83,4900,119
2005-06,257,179,0,78,5079,119
2005-07,316,206,0,110,5285,119
2005-08,325,202,1,123,5487,120
2005-09,354,238,2,116,5725,122
2005-10,368,249,1,119,5974,123
2005-11,373,245,3,128,6219,126
2005-12,369,222,5,147,6441,131
2006-01,592,367,8,225,6808,139
2006-02,612,381,8,231,7189,147
2006-03,831,530,10,301,7719,157
2006-04,998,619,18,379,8338,175
2006-05,921,582,10,339,8920,185
2006-06,1038,599,11,439,9519,196
2006-07,1258,738,12,520,10257,208
2006-08,1509,792,14,717,11049,222
2006-09,1461,772,13,689,11821,235
2006-10,1352,690,14,662,12511,249
2006-11,1533,785,12,748,13296,261
2006-12,1410,701,10,709,13997,271
2007-01,2448,1216,23,1232,15213,294
2007-02,1867,922,18,945,16135,312
2007-03,2215,1103,11,1112,17238,323
2007-04,2162,1054,13,1108,18292,336
2007-05,2240,1074,22,1166,19366,358
2007-06,2322,1157,15,1165,20523,373
2007-07,2918,1458,10,1460,21981,383
2007-08,2921,1461,7,1460,23442,390
2007-09,2946,1549,14,1397,24991,404
2007-10,3078,1606,13,1472,26597,417
2007-11,3015,1375,13,1640,27972,430
2007-12,2633,1228,12,1405,29200,442
2008-01,3750,1964,18,1786,31164,460
2008-02,3400,1645,15,1755,32809,475
2008-03,3359,1693,12,1666,34502,487
2008-04,3211,1618,14,1593,36120,501
2008-05,3441,1698,14,1743,37818,515
